codigo,articulo,uxb,precio caja,precio unitario,cantidad_normalizada,unidad_estandar,precio_estandar
2587,JACK DANIELS TW 1LTS,12,616773.673,51397.806,,,
2599,OLIOVITA GOURMET BT 500ML,12,133699.48,11141.623,0.5,LT,22283.246
2604,INTI ZEN ILUMINE X50 UNI,4,34435.983,8608.996,,,
2605,INTI ZEN CAJA MADERA VACIA,1,37846.38,37846.38,,,
2607,BRIGHTON TANGERINE 700ML,6,61411.114,10235.186,0.7,LT,14621.694285714286
2608,BRIGHTON PINK 700ML,6,61411.114,10235.186,0.7,LT,14621.694285714286
2610,CABRALES NES PERU X10 UNI,12,126990.381,10582.532,,,
2614,CAPEL DOBLE DESTILADO 700ML,12,263848.498,21987.375,0.7,LT,31410.535714285717
2615,SPEED UNLIMITED XL 473ML,12,25951.752,2162.646,0.473,LT,4572.190274841439
2616,HEINEKEN LATA 710ML,24,92731.503,3863.813,0.71,LT,5441.9901408450705
2617,CAMPARI 1 LTS,6,73586.191,12264.365,,,
2618,LARIOS (ESTUCHE) 700ML,6,70578.292,11763.049,0.7,LT,16804.355714285717
2627,ANIMAL EXTRA BRUT 750ML,6,75330.486,12555.081,0.75,LT,16740.108
2628,OLIOVITA ACEITUNAS ENTERAS 300GR,24,24663.759,1027.657,0.3,KG,3425.523333333333
2629,OLIOVITA ACEITUNAS ENTERAS 220GR,24,18701.092,779.212,0.22,KG,3541.8727272727274
2630,OLIOVITA ACEITUNAS DESCAROZADAS 220GR,24,21763.735,906.822,0.22,KG,4121.918181818181
2631,OLIOVITA ACEITUNAS DESCAROZADAS 300GR,24,28458.184,1185.758,0.3,KG,3952.526666666667
2633,ACONCAGUA BAG IN BOX 5LTS,1,31217.4,31217.4,,,
2634,AJENJO VERMUT ROSSO 750ML,6,34612.428,5768.738,0.75,LT,7691.650666666667
2635,AJENJO VERMUT ROJO 750ML,6,34612.428,5768.738,0.75,LT,7691.650666666667
2639,FINCA LOS NOBLES MALBEC DOC 750ML,4,247049.999,61762.5,0.75,LT,82350.0
2640,HERACLITO 40 BOTANICOS 750ML (N),6,130198.673,21699.779,0.75,LT,28933.038666666664
2641,DEC MANI TOSTADO SALADO (POUCH) 250GR,12,23365.584,1947.132,0.25,KG,7788.528
2642,ACUERDO 1 CLASICO,1,206475.991,206475.991,,,
2645,ACUERDO 2 CLASICO,1,206475.991,206475.991,,,
